Label,text
0,RT @burnbeautymag: @4takaj @manisego That is a wig and everybody on the show hair looks like that cause it’s based on the comics lmao let’s…
0,"Hey @elonmusk, when was the last time you went to the movies? Or watched an episode of Breaking Bad or the Walking Dead?  $AMC #SaveAMC"
0,@bodi_11 The walking dead
0,watch walking dead for the 900th time?? yeah.
0,@Atelier462 Oh…there's that one when trust was gone when something coming or going on a horse or walking... and the other story with that sword and playing the dead-drums.. or the apple-job-story that changes everything...
0,To olhando the walking dead
0,@TammyChesman I think we will just stay put up here on the mountain for the rest of the year. I feel like I'm living in a long episode of Walking Dead.🧟‍♀️
0,RT @CoolnessCosmic: @Amy_Siskind @JBartlettt Yep now he’s officially on the dead man walking list… This is not the sort of information that…
0,"RT @FenCoul: Poll: The ""U""K🇬🇧 is now a ""dead man walking""; it's just a matter of when it dissolves, not if.   Broadly agree/disagree?   (Pl…"
0,CHAVALES A VER THE WALKING DEAD
